component,target_nutrient,confidence,relationship,priority,rationale
vitamin b2,Riboflavin,high,synonym,1,"Canonical B2 mapping."
vitamin b3,Niacin,high,synonym,1,"Canonical B3 mapping."
niacin,Niacin,high,synonym,1,"Canonical niacin mapping."
vitamin b5,Pantothenic acid,high,synonym,1,"Canonical B5 mapping."
pantothenic acid,Pantothenic acid,high,synonym,1,"Canonical B5 name."
vitamin b6,"Vitamin B-6",high,synonym,1,"Canonical B6 mapping."
b6,"Vitamin B-6",high,synonym,1,"Short-form B6 token from labels/OCR."
vit b6,"Vitamin B-6",high,synonym,1,"Abbreviated B6 label form."
pyridoxine,"Vitamin B-6",high,form,1,"Common supplemental B6 form."
pyridoxine hcl,"Vitamin B-6",high,form,1,"Common label abbreviation for pyridoxine hydrochloride."
pyridoxine hydrochloride,"Vitamin B-6",high,form,1,"Common supplemental salt form mapped to total B6."
pyridoxal,"Vitamin B-6",medium,form,2,"B6 vitamer form."
pyridoxal 5 phosphate,"Vitamin B-6",high,form,1,"P5P is active B6 form; mapped to total B6 table entry."
p5p,"Vitamin B-6",high,form,1,"Common abbreviation for active B6 form."
vitamin b7,Biotin,high,synonym,1,"Canonical B7 mapping."
biotin,Biotin,high,synonym,1,"Canonical biotin mapping."
vitamin b9,"Folate, total",high,synonym,1,"Canonical B9 mapping."
folate,"Folate, total",high,synonym,1,"Canonical folate mapping."
folic acid,"Folate, total",high,form_proxy,1,"Synthetic folic acid mapped to total folate for foods."
5 mthf,"Folate, total",high,form_proxy,1,"Active folate supplements mapped to total folate in foods."
methylfolate,"Folate, total",high,form_proxy,1,"Active folate supplements mapped to total folate in foods."
vitamin b12,"Vitamin B-12",high,synonym,1,"Canonical B12 mapping."
cobalamin,"Vitamin B-12",high,synonym,1,"General cobalamin mapped to total B12."
methylcobalamin,"Vitamin B-12",high,form_proxy,1,"Supplement form mapped to total B12 in foods."
cyanocobalamin,"Vitamin B-12",high,form_proxy,1,"Supplement form mapped to total B12 in foods."
adenosylcobalamin,"Vitamin B-12",medium,form_proxy,2,"Vitamer form mapped to total B12 in foods."
choline,"Choline, total",high,synonym,1,"Canonical choline mapping."
alpha gpc,"Choline, total",high,form_proxy,1,"Supplemental choline donor mapped to total choline."
cdp choline,"Choline, total",high,form_proxy,1,"Citicoline-like forms mapped to total choline."
citicoline,"Choline, total",high,form_proxy,1,"Supplement form mapped to total choline."
calcium,"Calcium, Ca",high,synonym,1,"Canonical mineral mapping."
magnesium,"Magnesium, Mg",high,synonym,1,"Canonical mineral mapping."
iron,"Iron, Fe",high,synonym,1,"Canonical mineral mapping."
zinc,"Zinc, Zn",high,synonym,1,"Canonical mineral mapping."
selenium,"Selenium, Se",high,synonym,1,"Canonical mineral mapping."
potassium,"Potassium, K",high,synonym,1,"Canonical mineral mapping."
sodium,"Sodium, Na",high,synonym,1,"Canonical mineral mapping."
copper,"Copper, Cu",high,synonym,1,"Canonical mineral mapping."
manganese,"Manganese, Mn",high,synonym,1,"Canonical mineral mapping."
iodine,"Iodine, I",high,synonym,1,"Canonical mineral mapping."
chromium,"Chromium, Cr",high,synonym,1,"Canonical mineral mapping."
molybdenum,"Molybdenum, Mo",high,synonym,1,"Canonical mineral mapping."
fluoride,"Fluoride, F",high,synonym,1,"Canonical mineral mapping where fluoride analyte is available in the nutrient table."
fluorine,"Fluoride, F",medium,synonym,2,"Common naming variant mapped to fluoride analyte."
cesium,"Cesium, Cs",low,synonym,3,"Trace element entry included for deterministic lookup; food coverage may be sparse."
fish oil,"PUFA 22:6 n-3 (DHA)",high,compound_family,1,"Fish oil commonly targets long-chain omega-3 DHA/EPA."
fish oil,"PUFA 20:5 n-3 (EPA)",high,compound_family,1,"Fish oil commonly targets long-chain omega-3 DHA/EPA."
omega 3,"PUFA 22:6 n-3 (DHA)",high,family,1,"Generic omega-3 mapped to principal LC omega-3 analytes."
omega 3,"PUFA 20:5 n-3 (EPA)",high,family,1,"Generic omega-3 mapped to principal LC omega-3 analytes."
omega-3,"PUFA 22:6 n-3 (DHA)",high,family,1,"Generic omega-3 mapped to principal LC omega-3 analytes."
omega-3,"PUFA 20:5 n-3 (EPA)",high,family,1,"Generic omega-3 mapped to principal LC omega-3 analytes."
dha,"PUFA 22:6 n-3 (DHA)",high,synonym,1,"Direct nutrient analyte."
epa,"PUFA 20:5 n-3 (EPA)",high,synonym,1,"Direct nutrient analyte."
omega 6,"PUFA 18:2 n-6 c,c",high,family,1,"Generic omega-6 proxy to linoleic acid analyte."
omega-6,"PUFA 18:2 n-6 c,c",high,family,1,"Generic omega-6 proxy to linoleic acid analyte."
linoleic acid,"PUFA 18:2 n-6 c,c",high,synonym,1,"Direct omega-6 analyte."
omega 9,"MUFA 18:1 c",medium,family,2,"Generic omega-9 mapped to common oleic acid proxy."
omega-9,"MUFA 18:1 c",medium,family,2,"Generic omega-9 mapped to common oleic acid proxy."
oleic acid,"MUFA 18:1 c",high,synonym,1,"Direct monounsaturated fatty acid analyte proxy."
fiber,"Fiber, total dietary",high,synonym,1,"Canonical dietary fiber mapping."
dietary fiber,"Fiber, total dietary",high,synonym,1,"Canonical dietary fiber mapping."
soluble fiber,"Fiber, total dietary",medium,subtype_proxy,2,"Subtype mapped to total dietary fiber where subtype unavailable."
insoluble fiber,"Fiber, total dietary",medium,subtype_proxy,2,"Subtype mapped to total dietary fiber where subtype unavailable."
protein,Protein,high,synonym,1,"Canonical protein mapping."
carbohydrate,"Carbohydrate, by difference",high,synonym,1,"Canonical carbohydrate mapping."
fat,"Total lipid (fat)",high,synonym,1,"Canonical total fat mapping."
total fat,"Total lipid (fat)",high,synonym,1,"Canonical total fat mapping."
saturated fat,"Fatty acids, total saturated",high,synonym,1,"Direct saturated fat analyte mapping."
monounsaturated fat,"Fatty acids, total monounsaturated",high,synonym,1,"Direct MUFA total mapping."
polyunsaturated fat,"Fatty acids, total polyunsaturated",high,synonym,1,"Direct PUFA total mapping."
lutein,Lutein,high,synonym,1,"Direct phytochemical analyte mapping."
zeaxanthin,Zeaxanthin,high,synonym,1,"Direct phytochemical analyte mapping."
